"Time_Window","Wearable_Metric","OCTA_Parameter","Parameter_Type","Region","N","Correlation","P_Value","CI_Lower","CI_Upper","Significant","P_FDR","Significant_FDR"
"baseline","cv_rhr_1","VD_DCP_0_6_improvement","BloodFlow","Widefield",11,-0.704497410517773,0.0155003069194353,-0.916886612017566,-0.181198961301646,TRUE,0.913021974895881,FALSE
"acute_recovery","cv_rhr_1","VD_DCP_0_6_improvement","BloodFlow","Widefield",12,-0.653849613521206,0.0210941664610523,-0.89275068634274,-0.127967029251577,TRUE,0.913021974895881,FALSE
"mid_recovery","cv_rhr_1","VD_DCP_0_6_improvement","BloodFlow","Widefield",12,-0.647514018272724,0.0228178620500564,-0.890498189077962,-0.117144327877631,TRUE,0.913021974895881,FALSE
"late_recovery","steps_max","PA_Choroid_0_6_improvement","BloodFlow","Widefield",12,0.638026309440518,0.0255875551007799,0.101169270732906,0.88710259756623,TRUE,0.913021974895881,FALSE
"baseline","cv_rhr_1","PA_DCP_0_21_improvement","BloodFlow","Macular",11,-0.655249948403189,0.0286337031327606,-0.900978916600451,-0.0912374719964002,TRUE,0.913021974895881,FALSE
"mid_recovery","cv_rhr_1","VD_SVP_0_6_improvement","BloodFlow","Widefield",12,-0.627673245690731,0.0288791579840682,-0.883366283297308,-0.0840474144583827,TRUE,0.913021974895881,FALSE
"mid_recovery","cv_rhr_1","PA_ICP_0_21_improvement","BloodFlow","Macular",12,-0.593525906882003,0.0419013303237352,-0.870808099140539,-0.0297619777637163,TRUE,0.913021974895881,FALSE
"acute_recovery","cv_rhr_1","PA_DCP_0_21_improvement","BloodFlow","Macular",12,-0.581428970598204,0.047377374954113,-0.866270744050042,-0.01129695608127,TRUE,0.913021974895881,FALSE
"late_recovery","cv_rhr_1","PA_DCP_0_21_improvement","BloodFlow","Macular",12,-0.564870633607479,0.0556646915602631,-0.859982860635478,0.0133630044625871,FALSE,0.913021974895881,FALSE
"mid_recovery","cv_rhr_1","PA_DCP_0_6_improvement","BloodFlow","Widefield",12,-0.563280607543917,0.0565103235666302,-0.85937430969892,0.0156945496855787,FALSE,0.913021974895881,FALSE
"mid_recovery","cv_rhr_1","PA_DCP_0_21_improvement","BloodFlow","Macular",12,-0.560140492141468,0.0582065980158043,-0.858170023968788,0.0202806571563832,FALSE,0.913021974895881,FALSE
"acute_recovery","cv_rhr_1","PA_Choroid_0_6_improvement","BloodFlow","Widefield",12,0.551592530642811,0.0630031849270356,-0.0326423406848151,0.854875037925543,FALSE,0.913021974895881,FALSE
"mid_recovery","cv_rhr_1","PA_SVP_0_6_improvement","BloodFlow","Widefield",12,-0.548961874764745,0.0645328064590929,-0.853856051022256,0.0364110463019884,FALSE,0.913021974895881,FALSE
"acute_recovery","cv_rhr_1","PA_ICP_0_21_improvement","BloodFlow","Macular",12,-0.548515953256127,0.0647946147826073,-0.853683090969119,0.0370482320470851,FALSE,0.913021974895881,FALSE
"early_recovery","steps_max","PA_Choroid_0_6_improvement","BloodFlow","Widefield",12,0.547585586006799,0.0653432133682116,-0.0383761202841741,0.853322011553708,FALSE,0.913021974895881,FALSE
"late_recovery","cv_rhr_1","PA_SVP_0_21_improvement","BloodFlow","Macular",12,-0.539153038888132,0.0704626396071395,-0.850035874785328,0.0503180202432039,FALSE,0.913021974895881,FALSE
"mid_recovery","steps_max","PA_Choroid_0_6_improvement","BloodFlow","Widefield",12,0.529547432461462,0.0766227297974162,-0.0637188657410505,0.846262881539583,FALSE,0.913021974895881,FALSE
"baseline","steps_max","PA_SVP_0_21_improvement","BloodFlow","Macular",11,-0.549419619449236,0.0799975833717221,-0.864402256304742,0.0752597290866769,FALSE,0.913021974895881,FALSE
"acute_recovery","cv_rhr_1","PA_SVP_0_21_improvement","BloodFlow","Macular",12,-0.521913757210619,0.0817733696261248,-0.843241616686077,0.0742182366405126,FALSE,0.913021974895881,FALSE
"acute_recovery","cv_rhr_1","PA_DCP_0_6_improvement","BloodFlow","Widefield",12,-0.519383440185707,0.0835313278765628,-0.84223566467386,0.0776695181511018,FALSE,0.913021974895881,FALSE
"mid_recovery","cv_rhr_1","PA_ICP_0_6_improvement","BloodFlow","Widefield",12,-0.512427448848313,0.0884958801370683,-0.839458608893022,0.0870841233007727,FALSE,0.913021974895881,FALSE
"early_recovery","cv_rhr_1","PA_ICP_0_21_improvement","BloodFlow","Macular",12,-0.504957317220542,0.0940454273147367,-0.836457148310731,0.0970767306320781,FALSE,0.913021974895881,FALSE
"baseline","cv_rhr_1","PA_DCP_0_6_improvement","BloodFlow","Widefield",11,-0.527424458734867,0.0954522973754785,-0.856357568081227,0.105982099209109,FALSE,0.913021974895881,FALSE
"late_recovery","cv_rhr_1","PA_ICP_0_21_improvement","BloodFlow","Macular",12,-0.486981642870238,0.108346329323738,-0.829152179865707,0.120634986027483,FALSE,0.98876628565732,FALSE
"early_recovery","cv_rhr_1","PA_SVP_0_21_improvement","BloodFlow","Macular",12,-0.48101084184457,0.113398540273377,-0.826699628918168,0.128311550883086,FALSE,0.98876628565732,FALSE
"acute_recovery","cv_rhr_1","Thickness_GCL.IPL_0_21_improvement","Thickness","Macular",11,0.496821347520867,0.120030715896051,-0.146806516923161,0.844892459376824,FALSE,0.98876628565732,FALSE
"acute_recovery","cv_rhr_1","Thickness_OuterRetina_0_21_improvement","Thickness","Macular",11,0.488976701703976,0.126925786124472,-0.156929701872014,0.841901142239829,FALSE,0.98876628565732,FALSE
"baseline","cv_rhr_1","PA_ICP_0_21_improvement","BloodFlow","Macular",11,-0.479649468631902,0.135446446121577,-0.83831603464932,0.168792030608495,FALSE,0.98876628565732,FALSE
"acute_recovery","cv_rhr_1","Thickness_INL_0_21_improvement","Thickness","Macular",11,0.466754716359168,0.147809317533274,-0.184887887273101,0.833308062470036,FALSE,0.98876628565732,FALSE
"early_recovery","cv_rhr_1","VD_DCP_0_6_improvement","BloodFlow","Widefield",12,-0.436112705311758,0.156396163282481,-0.807826764892044,0.183788581394606,FALSE,0.98876628565732,FALSE
"early_recovery","steps_max","Thickness_OuterRetina_0_6_improvement","Thickness","Widefield",11,-0.454830645182436,0.159850241969774,-0.82862290872508,0.199467346225431,FALSE,0.98876628565732,FALSE
"baseline","steps_max","VD_SVP_0_21_improvement","BloodFlow","Macular",11,-0.45322691066506,0.161514628859068,-0.827988755949717,0.20140636441969,FALSE,0.98876628565732,FALSE
"early_recovery","cv_rhr_1","PA_DCP_0_21_improvement","BloodFlow","Macular",12,-0.426361736873351,0.166933376323904,-0.80362467990326,0.195336775134922,FALSE,0.98876628565732,FALSE
"late_recovery","steps_max","PA_Choroid_0_21_improvement","BloodFlow","Macular",12,0.424429289785839,0.169073436627304,-0.197605109328261,0.802787420509603,FALSE,0.98876628565732,FALSE
"acute_recovery","cv_rhr_1","Thickness_Retina_0_21_improvement","Thickness","Macular",11,0.433960182935457,0.182348644609179,-0.224306795171738,0.820294577610424,FALSE,0.98876628565732,FALSE
"mid_recovery","cv_rhr_1","PA_SVP_0_21_improvement","BloodFlow","Macular",12,-0.408932500970202,0.186858942072604,-0.796018828440768,0.21555771444964,FALSE,0.98876628565732,FALSE
"baseline","cv_rhr_1","PA_SVP_0_21_improvement","BloodFlow","Macular",11,-0.427265992637846,0.189951468395215,-0.817588110157691,0.232096891706977,FALSE,0.98876628565732,FALSE
"baseline","cv_rhr_1","PA_Choroid_0_6_improvement","BloodFlow","Widefield",11,0.42221445430004,0.195813457763341,-0.237919948815408,0.815534286312135,FALSE,0.98876628565732,FALSE
"late_recovery","steps_max","VD_SVP_0_21_improvement","BloodFlow","Macular",12,-0.397109134166296,0.201178806485817,-0.790788750139094,0.228976613529824,FALSE,0.98876628565732,FALSE
"baseline","cv_rhr_1","PA_SVP_0_6_improvement","BloodFlow","Widefield",11,-0.414052002549097,0.205512645101482,-0.812194574019351,0.247229817232722,FALSE,0.98876628565732,FALSE
"acute_recovery","steps_max","PA_Choroid_0_6_improvement","BloodFlow","Widefield",12,0.39211886912953,0.207418600090396,-0.234569780839215,0.788563913715206,FALSE,0.98876628565732,FALSE
"late_recovery","cv_rhr_1","VD_ICP_0_21_improvement","BloodFlow","Macular",12,0.390878317203438,0.208987853160842,-0.235953800978294,0.788009216465966,FALSE,0.98876628565732,FALSE
"late_recovery","cv_rhr_1","PA_DCP_0_6_improvement","BloodFlow","Widefield",12,-0.389248105696499,0.211060961923034,-0.787279306171699,0.23776868595533,FALSE,0.98876628565732,FALSE
"late_recovery","steps_max","VD_ICP_0_21_improvement","BloodFlow","Macular",12,-0.386975637528688,0.213971574703077,-0.786259967363058,0.240291299623762,FALSE,0.98876628565732,FALSE
"baseline","cv_rhr_1","VD_SVP_0_6_improvement","BloodFlow","Widefield",11,-0.406859022116138,0.214292694191197,-0.809229735277707,0.255333963226376,FALSE,0.98876628565732,FALSE
"late_recovery","cv_rhr_1","PA_Choroid_0_21_improvement","BloodFlow","Macular",12,-0.386571057992656,0.214492302224371,-0.786078260888368,0.240739527161818,FALSE,0.98876628565732,FALSE
"late_recovery","cv_rhr_1","VD_DCP_0_6_improvement","BloodFlow","Widefield",12,-0.380948676906576,0.221808137086555,-0.783545946046384,0.246940904452524,FALSE,0.98876628565732,FALSE
"early_recovery","cv_rhr_1","PA_DCP_0_6_improvement","BloodFlow","Widefield",12,-0.378714307061974,0.224756620590834,-0.782535860579136,0.249391172868764,FALSE,0.98876628565732,FALSE
"acute_recovery","cv_rhr_1","VD_SVP_0_6_improvement","BloodFlow","Widefield",12,-0.374481364123223,0.230406569562944,-0.780616439611149,0.254011183295536,FALSE,0.98876628565732,FALSE
"baseline","cv_rhr_1","PA_ICP_0_6_improvement","BloodFlow","Widefield",11,-0.392395191259964,0.232608278846427,-0.803205266744288,0.271353106560797,FALSE,0.98876628565732,FALSE
