"time_period_clean","n_patients","mean_rhr","median_rhr","se_mean","se_median"
"Pre all",11,78.4097653057073,77.2727272727273,2.24893646325403,2.28867134576497
"Pre 7d all",11,78.2856671231182,77,2.22607932260381,2.28035085019828
"Pre 3-7d",11,79.033528999291,77.7272727272727,2.38061283159138,2.41243335881922
"Pre 3d",11,78.6043663367681,77.2727272727273,2.41707330070507,2.39731254491702
"Post 1-3d",11,78.5119756224423,77.3636363636364,2.4685743461505,2.40178996611326
"Post 4-6d",11,78.3845637515286,77.2727272727273,2.55282687697862,2.50123936221775
"Post 6d",11,78.4684145321204,77.0909090909091,2.47364556814467,2.46596669392293
"Post 1w",11,78.8641304591289,77.7272727272727,2.54241747745986,2.49395964497098
"Post 7-30d",11,80.1366024834135,78.7272727272727,2.9353177259755,2.80937038915681
"Post 23-30d",11,80.6857043488939,79.1818181818182,3.12872859200838,3.09491718737258
"Post 27-30d",11,80.2082393593037,78.9090909090909,3.14093967354106,3.14051109174213
"Post >30d",11,79.8709447937724,78.8181818181818,3.07373916379492,3.12415277771629
