"Parameter","Data_Type","Cluster1_Mean","Cluster2_Mean","Mean_Difference","P_Value","Significant","P_Adjusted","Significant_Adjusted"
"vision","Vision",-0.0628571428571429,0.21,0.272857142857143,0.000418813633041832,"Yes",0.00586339086258565,"Yes"
"VD_SVP_0_21","Blood_Flow",0.891728571428571,-2.67205,-3.56377857142857,0.00365722754548837,"Yes",0.0256005928184186,"Yes"
"VD_ICP_0_21","Blood_Flow",0.8917,-0.9326,-1.8243,0.0239459096110923,"Yes",0.111747578185097,"No"
"Thickness_INL_0_21","Thickness",-2.38298571428572,3.2459625,5.62894821428571,0.0527874040175489,"No",0.184755914061421,"No"
"Thickness_Retina_0_21","Thickness",-21.4233857142857,13.532675,34.9560607142857,0.0690740582049642,"No",0.1934073629739,"No"
"PA_Choroid_0_21","Blood_Flow",-7.36864285714285,11.551525,18.9201678571429,0.0946077614970455,"No",0.220751443493106,"No"
"Thickness_OuterRetina_0_21","Thickness",-7.53258571428571,3.957075,11.4896607142857,0.11846275515412,"No",0.236925510308241,"No"
"PA_ICP_0_21","Blood_Flow",-1.12311428571429,1.471325,2.59443928571428,0.241044642710273,"No",0.41324405950849,"No"
"VD_DCP_0_21","Blood_Flow",0.291085714285714,-0.3678875,-0.658973214285715,0.293103777747562,"No",0.41324405950849,"No"
"age","Vision",60.7142857142857,55.25,-5.46428571428572,0.29517432822035,"No",0.41324405950849,"No"
"PA_DCP_0_21","Blood_Flow",-2.12711428571429,0.6936,2.82071428571429,0.362576271965991,"No",0.461460709774898,"No"
"Thickness_GCL.IPL_0_21","Thickness",-1.74725714285714,0.6887625,2.43601964285714,0.50624234311449,"No",0.590616066966905,"No"
"pre_vision","Vision",0.465714285714286,0.39,-0.0757142857142857,0.56030160098507,"No",0.603401724137768,"No"
"PA_SVP_0_21","Blood_Flow",-1.55131428571429,-0.450512499999999,1.10080178571429,0.663541689069658,"No",0.663541689069658,"No"
