"Parameter","Rho","P_value"
"VD_SVP",-0.710714285714286,0.00297899488680275
"PA_SVP",-0.439285714285714,0.101360571193472
"VD_Deep",-0.392857142857143,0.147466655311326
"VD_InnerRetina",-0.389285714285714,0.151511936790394
"VD_ICP",-0.35,0.200945350816293
"VD_Superficial",-0.232142857142857,0.405098740693649
"PA_PED",0.217857142857143,0.435392673515538
"VD_DCP",-0.207142857142857,0.458842804963471
"PA_DCP",-0.2,0.474813964522169
"PA_ICP",-0.178571428571429,0.524284360046553
"PA_Avascular",0.171428571428571,0.541272176099633
"PA_OuterRetina",0.171428571428571,0.541272176099633
"SVD_Superficial",-0.160714285714286,0.567196704580345
"PA_NerveFiber",-0.132142857142857,0.638744218884067
"PA_Retina",-0.117857142857143,0.675711529221304
"PA_Deep",-0.103571428571429,0.713379630628728
"PA_Vitreous",-0.0964285714285714,0.732452863386731
"PA_Choroid",0.0678571428571429,0.810108818710513
"PA_Choriocapillaris",-0.05,0.859540943467457
"PA_InnerRetina",-0.0392857142857143,0.889445929673948
"VD_NerveFiber",-0.0214285714285714,0.939577904012879
"SVD_NerveFiber",-0.0178571428571429,0.949635304173862
"PA_Superficial",-0.0178571428571429,0.949635304173862
