"Parameter","Rho","P_value"
"PA_Choriocapillaris",-0.715867520758993,0.0704262440434746
"PA_NerveFiber",0.597614304667197,0.210295383118347
"SVD_NerveFiber",-0.45888943638397,0.300329269908215
"VD_DCP",-0.45888943638397,0.300329269908215
"VD_SVP",-0.385467126562535,0.393123272876577
"PA_ICP",0.367111549107176,0.417905394522787
"PA_Superficial",0.367111549107176,0.417905394522787
"PA_Avascular",-0.3120448167411,0.495666165671652
"PA_Choroid",0.3120448167411,0.495666165671652
"PA_OuterRetina",-0.3120448167411,0.495666165671652
"PA_PED",0.293689239285741,0.522638738764494
"VD_Deep",-0.238622506919664,0.606335950719604
"PA_SVP",-0.183555774553588,0.693608961959421
"PA_Deep",0.128489042187512,0.783666358930152
"PA_InnerRetina",0.128489042187512,0.783666358930152
"VD_NerveFiber",-0.128489042187512,0.783666358930152
"VD_Superficial",-0.128489042187512,0.783666358930152
"SVD_Superficial",0.110133464732153,0.814163462563678
"PA_Vitreous",-0.091777887276794,0.844848384695682
"PA_DCP",-0.0550667323660764,0.906657485332571
"VD_InnerRetina",-0.0550667323660764,0.906657485332571
"VD_ICP",-0.0367111549107176,0.937719195779196
"PA_Retina",0,1
