"day","stat_type","bo_type","n_group1","n_group2","mean_group1","mean_group2","sd_group1","sd_group2","p_value","cohens_d","significant","comparison","p_adjusted","significant_adjusted"
-7,"cv","bo",7,6,2.66670557743527,1.7956884013459,0.694967164002999,1.09181024481936,0.129633847019747,0.951766809380632,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.615760773343799,FALSE
-7,"iqr","bo",7,6,2.20392857142857,1.5075,0.867065041224871,1.24473189884408,0.279883690715983,0.649259386602792,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.911928388587907,FALSE
-7,"kurt","bo",7,6,6.6777178036482,138.112081406073,2.17608214271743,317.419390465828,0.35700028526314,-0.585571951040148,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.797207991149175,FALSE
-7,"max","bo",7,6,98.8828571428571,99.0033333333333,0.396724685632841,0.00816496580927564,0.452435929890064,-0.429373305945324,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.789557454531413,FALSE
-7,"mean","bo",7,6,95.0812189862007,96.7373780665702,0.53188577196301,1.62715293695865,0.0548872479889483,-1.36818247964944,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.23174615817556,FALSE
-7,"median","bo",7,6,95.58,97.1016666666667,0.460108682813095,1.50101854307889,0.0554936815634008,-1.37071605615407,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.525567085244346,FALSE
-7,"min","bo",7,6,83.9585714285714,87.7966666666667,1.6913449142761,6.7657569174976,0.228452902510428,-0.778307668986923,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.868121029539626,FALSE
-7,"sd","bo",7,6,2.53317622202925,1.72409181007024,0.650398778267566,1.03533620215843,0.135772219359268,0.935830090927884,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.644918041956521,FALSE
-7,"skew","bo",7,6,-1.53631876596379,-6.2182223887015,0.588900968544467,10.717949705802,0.333855137280381,0.616838078481534,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.872702775328888,FALSE
-6,"cv","bo",14,6,2.34872921913687,2.4922010743138,1.47336771071329,0.854859163506988,0.788611934675235,-0.119114105852071,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.986419565039714,FALSE
-6,"iqr","bo",14,6,2.19946428571429,2.75916666666667,2.00897342196576,1.15323205239304,0.444591771942905,-0.341704045981076,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.911928388587907,FALSE
-6,"kurt","bo",14,6,10.0452978871563,4.99588282013532,13.0494388397048,2.80705034541048,0.188554344663528,0.534985443889475,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.797207991149175,FALSE
