"Parameter","Rho","P_value"
"PA_Choriocapillaris",-0.5,0.170470660787054
"SVD_Superficial",0.383333333333333,0.308495272380372
"PA_Vitreous",-0.316666666666667,0.406397014486386
"VD_InnerRetina",0.316666666666667,0.406397014486386
"PA_Retina",0.3,0.432845326709482
"VD_Deep",0.266666666666667,0.487922274838701
"PA_InnerRetina",0.25,0.516489552301226
"VD_DCP",-0.25,0.516489552301226
"PA_Choroid",-0.216666666666667,0.575514895711925
"PA_OuterRetina",-0.216666666666667,0.575514895711925
"VD_Superficial",0.183333333333333,0.636819811762894
"PA_Avascular",-0.166666666666667,0.668231040071504
"VD_SVP",0.166666666666667,0.668231040071504
"PA_DCP",0.15,0.700094230969142
"SVD_NerveFiber",0.133333333333333,0.732367505236297
"PA_PED",-0.1,0.79797169523485
"PA_Deep",0.0833333333333333,0.831214097710308
"PA_Superficial",-0.0833333333333333,0.831214097710308
"PA_SVP",-0.0333333333333333,0.932156735540504
"PA_ICP",0.0333333333333333,0.932156735540504
"PA_NerveFiber",0.0166666666666667,0.966054803994686
"VD_ICP",0,1
"VD_NerveFiber",0,1
