"Parameter","Rho","P_value"
"PA_Choroid",0.608391608391608,0.0358059970520293
"PA_ICP",0.601398601398601,0.0385884529220194
"PA_InnerRetina",0.573426573426573,0.0512655897864915
"VD_NerveFiber",0.552447552447553,0.0625114832796152
"PA_NerveFiber",0.531468531468532,0.0753623350534836
"PA_Deep",0.524475524475525,0.0800193759202748
"PA_Superficial",0.496503496503497,0.100602631832255
"PA_Retina",0.468531468531469,0.124454791188834
"PA_SVP",0.461538461538462,0.130948069507173
"SVD_NerveFiber",0.454545454545455,0.137657916347729
"VD_InnerRetina",0.447552447552448,0.144586301303347
"VD_Superficial",0.433566433566434,0.159105769412195
"PA_Vitreous",-0.398601398601399,0.199335494617809
"VD_Deep",0.370629370629371,0.235621003512646
"SVD_Superficial",0.363636363636364,0.245265000730777
"PA_DCP",0.363636363636364,0.245265000730777
"VD_DCP",-0.153846153846154,0.633090681246262
"PA_Avascular",0.125874125874126,0.696683109395766
"VD_SVP",0.125874125874126,0.696683109395766
"PA_PED",0.118181818181818,0.72928477951978
"PA_OuterRetina",-0.0454545454545455,0.894426996905303
"PA_Choriocapillaris",-0.013986013986014,0.96559026891878
"VD_ICP",0,1
