"Outcome_Type_Clean","Parameter_Clean","Parameter_Type","Region","Layer","N","Pearson_r_formatted","Pearson_p_formatted","Spearman_rho_formatted","Spearman_p_formatted","Significance_Status","Pearson_Effect","Clinical_Interpretation"
"OCTA","PA Choroid Macular (0_6) Improvement","BloodFlow","Macular","Choroidal",11,"0.540","0.086","0.520","0.101","†","Large","Trend"
"OCTA","Thickness OuterRetina Macular (0_6) Improvement","Thickness","Macular","Other",12,"-0.410","0.185","-0.159","0.622","ns","Medium","Weak"
"OCTA","VD Deep Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Deep",11,"-0.363","0.272","-0.492","0.124","ns","Medium","Weak"
"OCTA","PA Deep Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Deep",11,"-0.338","0.309","-0.391","0.235","ns","Medium","Weak"
"OCTA","Thickness Retina Macular (0_6) Improvement","Thickness","Macular","Other",12,"-0.337","0.284","-0.184","0.568","ns","Medium","Weak"
"OCTA","PA Deep Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Deep",11,"-0.291","0.386","-0.184","0.588","ns","Small","Weak"
"OCTA","Thickness INL Macular (0_6) Improvement","Thickness","Macular","Other",12,"-0.288","0.364","-0.463","0.130","ns","Small","Weak"
"OCTA","Thickness GCL.IPL Macular (0_6) Improvement","Thickness","Macular","Other",12,"-0.276","0.386","-0.138","0.669","ns","Small","Weak"
"OCTA","VD Superficial Vascular Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Superficial",11,"0.275","0.412","0.501","0.116","ns","Small","Weak"
"OCTA","VD Deep Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Deep",11,"0.250","0.459","0.451","0.164","ns","Small","Weak"
"OCTA","PA Choroid Widefield (0_21) Improvement","BloodFlow","Widefield","Choroidal",11,"-0.185","0.587","-0.437","0.179","ns","Small","Weak"
"OCTA","PA Intermediate Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Intermediate",11,"-0.143","0.676","0.124","0.716","ns","Small","Weak"
"OCTA","Thickness INL Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"-0.137","0.672","-0.014","0.965","ns","Small","Weak"
"OCTA","Thickness Retina Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"-0.132","0.683","0.085","0.793","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Superficial",11,"-0.115","0.736","0.257","0.445","ns","Small","Weak"
"OCTA","Thickness GCL.IPL Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"-0.112","0.730","0.198","0.538","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Macular (0_6) Improvement","BloodFlow","Macular","Superficial",11,"-0.103","0.763","0.359","0.279","ns","Small","Weak"
"Vision","vision Improvement (1 Month)","VA_1Month","Whole_Eye","Functional",14,"-0.099","0.736","-0.155","0.596","ns","Negligible","Weak"
"OCTA","VD Superficial Vascular Plexus Macular (0_6) Improvement","BloodFlow","Macular","Superficial",11,"0.091","0.789","0.428","0.190","ns","Negligible","Weak"
"OCTA","Thickness OuterRetina Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"-0.079","0.808","0.155","0.629","ns","Negligible","Weak"
"Vision","vision Improvement (1 Week)","VA_1Week","Whole_Eye","Functional",11,"0.041","0.904","0.250","0.458","ns","Negligible","Weak"
"OCTA","VD Intermediate Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Intermediate",11,"0.033","0.923","0.428","0.190","ns","Negligible","Weak"
"OCTA","VD Intermediate Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Intermediate",11,"-0.023","0.947","0.106","0.757","ns","Negligible","Weak"
"OCTA","PA Intermediate Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Intermediate",11,"-0.019","0.956","0.294","0.380","ns","Negligible","Weak"
