"Outcome_Type_Clean","Parameter_Clean","Parameter_Type","Region","Layer","N","Pearson_r_formatted","Pearson_p_formatted","Spearman_rho_formatted","Spearman_p_formatted","Significance_Status","Pearson_Effect","Clinical_Interpretation"
"OCTA","Thickness OuterRetina Macular (0_6) Improvement","Thickness","Macular","Other",12,"0.373","0.233","0.378","0.226","ns","Medium","Weak"
"OCTA","PA Choroid Macular (0_6) Improvement","BloodFlow","Macular","Choroidal",11,"-0.337","0.310","-0.294","0.381","ns","Medium","Weak"
"OCTA","Thickness Retina Macular (0_6) Improvement","Thickness","Macular","Other",12,"0.334","0.288","0.485","0.110","ns","Medium","Weak"
"OCTA","VD Deep Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Deep",11,"0.327","0.327","0.252","0.455","ns","Medium","Weak"
"OCTA","Thickness INL Macular (0_6) Improvement","Thickness","Macular","Other",12,"0.281","0.376","0.389","0.212","ns","Small","Weak"
"Vision","vision Improvement (1 Month)","VA_1Month","Whole_Eye","Functional",15,"0.254","0.362","0.572","0.026","ns","Small","Weak"
"OCTA","PA Deep Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Deep",11,"0.253","0.454","0.420","0.199","ns","Small","Weak"
"OCTA","Thickness OuterRetina Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"0.232","0.468","0.471","0.123","ns","Small","Weak"
"Vision","vision Improvement (1 Week)","VA_1Week","Whole_Eye","Functional",12,"0.227","0.478","0.331","0.294","ns","Small","Weak"
"OCTA","Thickness INL Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"0.217","0.498","0.481","0.113","ns","Small","Weak"
"OCTA","Thickness Retina Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"0.207","0.519","0.374","0.231","ns","Small","Weak"
"OCTA","Thickness GCL.IPL Macular (0_6) Improvement","Thickness","Macular","Other",12,"0.207","0.519","0.218","0.497","ns","Small","Weak"
"OCTA","VD Deep Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Deep",11,"-0.189","0.578","0.033","0.924","ns","Small","Weak"
"OCTA","VD Superficial Vascular Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Superficial",11,"-0.188","0.579","-0.121","0.722","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Superficial",11,"0.185","0.586","-0.009","0.978","ns","Small","Weak"
"OCTA","Thickness GCL.IPL Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"0.183","0.570","0.107","0.741","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Macular (0_6) Improvement","BloodFlow","Macular","Superficial",11,"0.147","0.667","0.089","0.796","ns","Small","Weak"
"OCTA","PA Intermediate Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Intermediate",11,"0.146","0.668","0.079","0.817","ns","Small","Weak"
"OCTA","PA Deep Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Deep",11,"0.136","0.689","0.284","0.397","ns","Small","Weak"
"OCTA","VD Superficial Vascular Plexus Macular (0_6) Improvement","BloodFlow","Macular","Superficial",11,"-0.086","0.801","-0.098","0.775","ns","Negligible","Weak"
"OCTA","PA Choroid Widefield (0_21) Improvement","BloodFlow","Widefield","Choroidal",11,"0.077","0.822","0.326","0.327","ns","Negligible","Weak"
"OCTA","VD Intermediate Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Intermediate",11,"0.054","0.875","-0.196","0.564","ns","Negligible","Weak"
"OCTA","VD Intermediate Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Intermediate",11,"0.043","0.899","0.131","0.702","ns","Negligible","Weak"
"OCTA","PA Intermediate Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Intermediate",11,"0.015","0.965","-0.098","0.775","ns","Negligible","Weak"
