"FCM_Cluster","Parameter","Mean_Value","Parameter_Type","Parameter_Clean","Cluster_Label"
1,"PA_Choroid_0_21_improvement",-18.9559,"Blood Flow - WF","PA Choroid","Cluster 1"
2,"PA_Choroid_0_21_improvement",12.1667166666667,"Blood Flow - WF","PA Choroid","Cluster 2"
1,"PA_Choroid_0_6_improvement",-0.857099999999999,"Blood Flow - WF","PA Choroid 0 6","Cluster 1"
2,"PA_Choroid_0_6_improvement",0.0755499999999992,"Blood Flow - WF","PA Choroid 0 6","Cluster 2"
1,"PA_DCP_0_21_improvement",-2.22886666666667,"Blood Flow - WF","PA DCP","Cluster 1"
2,"PA_DCP_0_21_improvement",2.09773333333333,"Blood Flow - WF","PA DCP","Cluster 2"
1,"PA_DCP_0_6_improvement",0.2123,"Blood Flow - WF","PA DCP 0 6","Cluster 1"
2,"PA_DCP_0_6_improvement",0.35705,"Blood Flow - WF","PA DCP 0 6","Cluster 2"
1,"PA_ICP_0_21_improvement",-1.2308,"Blood Flow - WF","PA ICP","Cluster 1"
2,"PA_ICP_0_21_improvement",2.36563333333334,"Blood Flow - WF","PA ICP","Cluster 2"
1,"PA_ICP_0_6_improvement",0.161866666666666,"Blood Flow - WF","PA ICP 0 6","Cluster 1"
2,"PA_ICP_0_6_improvement",0.197333333333333,"Blood Flow - WF","PA ICP 0 6","Cluster 2"
1,"PA_SVP_0_21_improvement",-2.31866666666667,"Blood Flow - WF","PA SVP","Cluster 1"
2,"PA_SVP_0_21_improvement",2.13903333333333,"Blood Flow - WF","PA SVP","Cluster 2"
1,"PA_SVP_0_6_improvement",-0.0885666666666669,"Blood Flow - WF","PA SVP 0 6","Cluster 1"
2,"PA_SVP_0_6_improvement",0.0869000000000002,"Blood Flow - WF","PA SVP 0 6","Cluster 2"
1,"VD_DCP_0_21_improvement",0.202633333333333,"Blood Flow - WF","VD DCP","Cluster 1"
2,"VD_DCP_0_21_improvement",0.250716666666667,"Blood Flow - WF","VD DCP","Cluster 2"
1,"VD_DCP_0_6_improvement",1.04606666666667,"Blood Flow - WF","VD DCP 0 6","Cluster 1"
2,"VD_DCP_0_6_improvement",0.471266666666667,"Blood Flow - WF","VD DCP 0 6","Cluster 2"
1,"VD_ICP_0_21_improvement",1.71806666666667,"Blood Flow - WF","VD ICP","Cluster 1"
2,"VD_ICP_0_21_improvement",0.419383333333333,"Blood Flow - WF","VD ICP","Cluster 2"
1,"VD_ICP_0_6_improvement",3.93986666666667,"Blood Flow - WF","VD ICP 0 6","Cluster 1"
2,"VD_ICP_0_6_improvement",0.237233333333333,"Blood Flow - WF","VD ICP 0 6","Cluster 2"
1,"VD_SVP_0_21_improvement",1.6956,"Blood Flow - WF","VD SVP","Cluster 1"
2,"VD_SVP_0_21_improvement",-0.0253000000000002,"Blood Flow - WF","VD SVP","Cluster 2"
1,"VD_SVP_0_6_improvement",3.53366666666667,"Blood Flow - WF","VD SVP 0 6","Cluster 1"
2,"VD_SVP_0_6_improvement",0.00663333333333386,"Blood Flow - WF","VD SVP 0 6","Cluster 2"
1,"Thickness_GCL.IPL_0_21_improvement",-2.53326666666667,"Thickness - WF","GCL.IPL","Cluster 1"
2,"Thickness_GCL.IPL_0_21_improvement",-3.37588,"Thickness - WF","GCL.IPL","Cluster 2"
1,"Thickness_GCL.IPL_0_6_improvement",-1.21946666666666,"Thickness - WF","GCL.IPL 0 6","Cluster 1"
2,"Thickness_GCL.IPL_0_6_improvement",-1.09148,"Thickness - WF","GCL.IPL 0 6","Cluster 2"
1,"Thickness_INL_0_21_improvement",-4.0123,"Thickness - WF","INL","Cluster 1"
2,"Thickness_INL_0_21_improvement",-0.496100000000001,"Thickness - WF","INL","Cluster 2"
1,"Thickness_INL_0_6_improvement",-3.24263333333333,"Thickness - WF","INL 0 6","Cluster 1"
2,"Thickness_INL_0_6_improvement",-0.86806,"Thickness - WF","INL 0 6","Cluster 2"
1,"Thickness_OuterRetina_0_21_improvement",-8.6376,"Thickness - WF","OuterRetina","Cluster 1"
2,"Thickness_OuterRetina_0_21_improvement",-7.97498,"Thickness - WF","OuterRetina","Cluster 2"
1,"Thickness_OuterRetina_0_6_improvement",-13.5233,"Thickness - WF","OuterRetina 0 6","Cluster 1"
2,"Thickness_OuterRetina_0_6_improvement",-27.8629,"Thickness - WF","OuterRetina 0 6","Cluster 2"
1,"Thickness_Retina_0_21_improvement",-22.0839,"Thickness - WF","Retina","Cluster 1"
2,"Thickness_Retina_0_21_improvement",-18.24264,"Thickness - WF","Retina","Cluster 2"
1,"Thickness_Retina_0_6_improvement",-30.2526333333333,"Thickness - WF","Retina 0 6","Cluster 1"
2,"Thickness_Retina_0_6_improvement",-37.03874,"Thickness - WF","Retina 0 6","Cluster 2"
1,"age",53.75,"Vision","age","Cluster 1"
2,"age",58.8571428571429,"Vision","age","Cluster 2"
1,"pre_vision",0.264375,"Vision","pre vision","Cluster 1"
2,"pre_vision",0.28,"Vision","pre vision","Cluster 2"
1,"vision_improvement_1m",0.1325,"Vision","vision","Cluster 1"
2,"vision_improvement_1m",0.122857142857143,"Vision","vision","Cluster 2"
