"nd_cat_vs_dm_ppv","day","stat_type","n"
"Diabetes_PPV",-7,"cv",11
"Diabetes_PPV",-7,"iqr",11
"Diabetes_PPV",-7,"kurt",11
"Diabetes_PPV",-7,"max",11
"Diabetes_PPV",-7,"mean",11
"Diabetes_PPV",-7,"median",11
"Diabetes_PPV",-7,"min",11
"Diabetes_PPV",-7,"sd",11
"Diabetes_PPV",-7,"skew",11
"Diabetes_PPV",-6,"cv",12
"Diabetes_PPV",-6,"iqr",12
"Diabetes_PPV",-6,"kurt",12
"Diabetes_PPV",-6,"max",12
"Diabetes_PPV",-6,"mean",12
"Diabetes_PPV",-6,"median",12
"Diabetes_PPV",-6,"min",12
"Diabetes_PPV",-6,"sd",12
"Diabetes_PPV",-6,"skew",12
"Diabetes_PPV",-5,"cv",13
"Diabetes_PPV",-5,"iqr",13
"Diabetes_PPV",-5,"kurt",13
"Diabetes_PPV",-5,"max",13
"Diabetes_PPV",-5,"mean",13
"Diabetes_PPV",-5,"median",13
"Diabetes_PPV",-5,"min",13
"Diabetes_PPV",-5,"sd",13
"Diabetes_PPV",-5,"skew",13
"Diabetes_PPV",-4,"cv",14
"Diabetes_PPV",-4,"iqr",14
"Diabetes_PPV",-4,"kurt",14
"Diabetes_PPV",-4,"max",14
"Diabetes_PPV",-4,"mean",14
"Diabetes_PPV",-4,"median",14
"Diabetes_PPV",-4,"min",14
"Diabetes_PPV",-4,"sd",14
"Diabetes_PPV",-4,"skew",14
"Diabetes_PPV",-3,"cv",13
"Diabetes_PPV",-3,"iqr",13
"Diabetes_PPV",-3,"kurt",13
"Diabetes_PPV",-3,"max",13
"Diabetes_PPV",-3,"mean",13
"Diabetes_PPV",-3,"median",13
"Diabetes_PPV",-3,"min",13
"Diabetes_PPV",-3,"sd",13
"Diabetes_PPV",-3,"skew",13
"Diabetes_PPV",-2,"cv",13
"Diabetes_PPV",-2,"iqr",13
"Diabetes_PPV",-2,"kurt",13
"Diabetes_PPV",-2,"max",13
"Diabetes_PPV",-2,"mean",13
"Diabetes_PPV",-2,"median",13
"Diabetes_PPV",-2,"min",13
"Diabetes_PPV",-2,"sd",13
"Diabetes_PPV",-2,"skew",13
"Diabetes_PPV",-1,"cv",14
"Diabetes_PPV",-1,"iqr",14
"Diabetes_PPV",-1,"kurt",14
"Diabetes_PPV",-1,"max",14
"Diabetes_PPV",-1,"mean",14
"Diabetes_PPV",-1,"median",14
"Diabetes_PPV",-1,"min",14
"Diabetes_PPV",-1,"sd",14
"Diabetes_PPV",-1,"skew",14
"Diabetes_PPV",0,"cv",14
"Diabetes_PPV",0,"iqr",14
"Diabetes_PPV",0,"kurt",14
"Diabetes_PPV",0,"max",14
"Diabetes_PPV",0,"mean",14
"Diabetes_PPV",0,"median",14
"Diabetes_PPV",0,"min",14
"Diabetes_PPV",0,"sd",14
"Diabetes_PPV",0,"skew",14
"Diabetes_PPV",1,"cv",14
"Diabetes_PPV",1,"iqr",14
"Diabetes_PPV",1,"kurt",14
"Diabetes_PPV",1,"max",14
"Diabetes_PPV",1,"mean",14
"Diabetes_PPV",1,"median",14
"Diabetes_PPV",1,"min",14
"Diabetes_PPV",1,"sd",14
"Diabetes_PPV",1,"skew",14
"Diabetes_PPV",2,"cv",15
"Diabetes_PPV",2,"iqr",15
"Diabetes_PPV",2,"kurt",15
"Diabetes_PPV",2,"max",15
"Diabetes_PPV",2,"mean",15
"Diabetes_PPV",2,"median",15
"Diabetes_PPV",2,"min",15
"Diabetes_PPV",2,"sd",15
"Diabetes_PPV",2,"skew",15
"Diabetes_PPV",3,"cv",14
"Diabetes_PPV",3,"iqr",14
"Diabetes_PPV",3,"kurt",14
"Diabetes_PPV",3,"max",14
"Diabetes_PPV",3,"mean",14
"Diabetes_PPV",3,"median",14
"Diabetes_PPV",3,"min",14
"Diabetes_PPV",3,"sd",14
"Diabetes_PPV",3,"skew",14
"Diabetes_PPV",4,"cv",14
"Diabetes_PPV",4,"iqr",14
"Diabetes_PPV",4,"kurt",14
"Diabetes_PPV",4,"max",14
"Diabetes_PPV",4,"mean",14
"Diabetes_PPV",4,"median",14
"Diabetes_PPV",4,"min",14
"Diabetes_PPV",4,"sd",14
"Diabetes_PPV",4,"skew",14
"Diabetes_PPV",5,"cv",13
"Diabetes_PPV",5,"iqr",13
"Diabetes_PPV",5,"kurt",13
"Diabetes_PPV",5,"max",13
"Diabetes_PPV",5,"mean",13
"Diabetes_PPV",5,"median",13
"Diabetes_PPV",5,"min",13
"Diabetes_PPV",5,"sd",13
"Diabetes_PPV",5,"skew",13
"Diabetes_PPV",6,"cv",13
"Diabetes_PPV",6,"iqr",13
"Diabetes_PPV",6,"kurt",13
"Diabetes_PPV",6,"max",13
"Diabetes_PPV",6,"mean",13
"Diabetes_PPV",6,"median",13
"Diabetes_PPV",6,"min",13
"Diabetes_PPV",6,"sd",13
"Diabetes_PPV",6,"skew",13
"Diabetes_PPV",7,"cv",14
"Diabetes_PPV",7,"iqr",14
"Diabetes_PPV",7,"kurt",14
"Diabetes_PPV",7,"max",14
"Diabetes_PPV",7,"mean",14
"Diabetes_PPV",7,"median",14
"Diabetes_PPV",7,"min",14
"Diabetes_PPV",7,"sd",14
"Diabetes_PPV",7,"skew",14
"Diabetes_PPV",8,"cv",13
"Diabetes_PPV",8,"iqr",13
"Diabetes_PPV",8,"kurt",13
"Diabetes_PPV",8,"max",13
"Diabetes_PPV",8,"mean",13
"Diabetes_PPV",8,"median",13
"Diabetes_PPV",8,"min",13
"Diabetes_PPV",8,"sd",13
"Diabetes_PPV",8,"skew",13
