"window","rhr_metric","steps_metric","combo_name","n_patients","auc","correlation_strength","p_value","accuracy","composite_score"
"baseline","cv_rhr_1","steps_max","cv_rhr_1 + steps_max",10,0.428571428571429,0.113960576459638,0.760959973017907,0.6,0.368473887223606
"baseline","cv_rhr_1","steps_mean","cv_rhr_1 + steps_mean",10,0.666666666666667,0.265908011739155,0.78341250079624,0.7,0.55310573685508
"baseline","cv_rhr_1","steps_total","cv_rhr_1 + steps_total",10,0.619047619047619,0.189934294099397,0.822163849320328,0.7,0.506504097753628
"baseline","mean_rhr_1","steps_max","mean_rhr_1 + steps_max",10,0.714285714285714,0.341881729378914,0.369352180583289,0.7,0.599707375956531
"baseline","mean_rhr_1","steps_mean","mean_rhr_1 + steps_mean",10,0.80952380952381,0.493829164658431,0.386607583685097,0.7,0.692910654159434
"baseline","mean_rhr_1","steps_total","mean_rhr_1 + steps_total",10,0.80952380952381,0.493829164658431,0.238904669847278,0.6,0.672910654159434
"baseline","max_rhr_1","steps_max","max_rhr_1 + steps_max",10,0.761904761904762,0.417855447018672,0.415479915086592,0.8,0.666309015057983
"baseline","max_rhr_1","steps_mean","max_rhr_1 + steps_mean",10,0.714285714285714,0.341881729378914,0.353768829130129,0.8,0.619707375956531
"baseline","max_rhr_1","steps_total","max_rhr_1 + steps_total",10,0.857142857142857,0.56980288229819,0.281991308975361,0.7,0.739512293260886
"baseline","min_rhr_1","steps_max","min_rhr_1 + steps_max",10,0.666666666666667,0.265908011739155,0.52302163520088,0.7,0.55310573685508
"baseline","min_rhr_1","steps_mean","min_rhr_1 + steps_mean",10,0.666666666666667,0.265908011739155,0.531101025184374,0.8,0.57310573685508
"baseline","min_rhr_1","steps_total","min_rhr_1 + steps_total",10,0.714285714285714,0.341881729378914,0.332960978865876,0.7,0.599707375956531
"acute_recovery","cv_rhr_1","steps_max","cv_rhr_1 + steps_max",11,0.607142857142857,0.179284291400159,0.684423388243526,0.636363636363636,0.484629443264204
"acute_recovery","cv_rhr_1","steps_mean","cv_rhr_1 + steps_mean",11,0.392857142857143,0.179284291400159,0.889931100420707,0.636363636363636,0.377486586121346
"acute_recovery","cv_rhr_1","steps_total","cv_rhr_1 + steps_total",11,0.642857142857143,0.239045721866879,0.913285591845941,0.636363636363636,0.520415015261362
"acute_recovery","mean_rhr_1","steps_max","mean_rhr_1 + steps_max",11,0.678571428571429,0.298807152333598,0.609322412882553,0.636363636363636,0.556200587258521
"acute_recovery","mean_rhr_1","steps_mean","mean_rhr_1 + steps_mean",11,0.571428571428571,0.119522860933439,0.906475792541178,0.636363636363636,0.448843871267045
"acute_recovery","mean_rhr_1","steps_total","mean_rhr_1 + steps_total",11,0.571428571428571,0.119522860933439,0.873708545785108,0.636363636363636,0.448843871267045
"acute_recovery","max_rhr_1","steps_max","max_rhr_1 + steps_max",11,0.714285714285714,0.358568582800318,0.353884598540172,0.727272727272727,0.610167977437498
"acute_recovery","max_rhr_1","steps_mean","max_rhr_1 + steps_mean",11,0.785714285714286,0.478091443733757,0.342120030771451,0.727272727272727,0.681739121431816
"acute_recovery","max_rhr_1","steps_total","max_rhr_1 + steps_total",11,0.714285714285714,0.358568582800318,0.364694097689217,0.727272727272727,0.610167977437498
"acute_recovery","min_rhr_1","steps_max","min_rhr_1 + steps_max",11,0.714285714285714,0.358568582800318,0.649118167370695,0.818181818181818,0.628349795619316
"acute_recovery","min_rhr_1","steps_mean","min_rhr_1 + steps_mean",11,0.464285714285714,0.0597614304667197,0.956732455130244,0.636363636363636,0.3773440135556
"acute_recovery","min_rhr_1","steps_total","min_rhr_1 + steps_total",11,0.678571428571429,0.298807152333598,0.901900473955772,0.636363636363636,0.556200587258521
"early_recovery","cv_rhr_1","steps_max","cv_rhr_1 + steps_max",11,0.607142857142857,0.179284291400159,0.877929521844991,0.636363636363636,0.484629443264204
"early_recovery","cv_rhr_1","steps_mean","cv_rhr_1 + steps_mean",11,0.607142857142857,0.179284291400159,0.64329677697965,0.727272727272727,0.502811261446022
"early_recovery","cv_rhr_1","steps_total","cv_rhr_1 + steps_total",11,0.714285714285714,0.358568582800318,0.458352568189874,0.727272727272727,0.610167977437498
"early_recovery","mean_rhr_1","steps_max","mean_rhr_1 + steps_max",11,0.535714285714286,0.0597614304667197,0.933484556170195,0.636363636363636,0.413058299269886
"early_recovery","mean_rhr_1","steps_mean","mean_rhr_1 + steps_mean",11,0.642857142857143,0.239045721866879,0.705996820942123,0.636363636363636,0.520415015261362
"early_recovery","mean_rhr_1","steps_total","mean_rhr_1 + steps_total",11,0.75,0.418330013267038,0.578937426822982,0.727272727272727,0.645953549434657
"early_recovery","max_rhr_1","steps_max","max_rhr_1 + steps_max",11,0.428571428571429,0.119522860933439,0.745193567583867,0.636363636363636,0.377415299838473
"early_recovery","max_rhr_1","steps_mean","max_rhr_1 + steps_mean",11,0.678571428571428,0.298807152333598,0.638502171960935,0.636363636363636,0.556200587258521
"early_recovery","max_rhr_1","steps_total","max_rhr_1 + steps_total",11,0.678571428571429,0.298807152333598,0.525283748841946,0.545454545454545,0.538018769076703
"early_recovery","min_rhr_1","steps_max","min_rhr_1 + steps_max",11,0.714285714285714,0.358568582800318,0.534582183683523,0.727272727272727,0.610167977437498
"early_recovery","min_rhr_1","steps_mean","min_rhr_1 + steps_mean",11,0.785714285714286,0.478091443733757,0.302705256153504,0.909090909090909,0.718102757795452
"early_recovery","min_rhr_1","steps_total","min_rhr_1 + steps_total",11,0.678571428571429,0.298807152333598,0.368368081078748,0.727272727272727,0.574382405440339
"mid_recovery","cv_rhr_1","steps_max","cv_rhr_1 + steps_max",11,0.571428571428571,0.119522860933439,0.743878911852652,0.818181818181818,0.485207507630681
"mid_recovery","cv_rhr_1","steps_mean","cv_rhr_1 + steps_mean",11,0.571428571428571,0.119522860933439,0.963178500424019,0.636363636363636,0.448843871267045
"mid_recovery","cv_rhr_1","steps_total","cv_rhr_1 + steps_total",11,0.678571428571429,0.298807152333598,0.497417577930662,0.818181818181818,0.592564223622157
"mid_recovery","mean_rhr_1","steps_max","mean_rhr_1 + steps_max",11,0.642857142857143,0.239045721866879,0.697746697740062,0.636363636363636,0.520415015261362
"mid_recovery","mean_rhr_1","steps_mean","mean_rhr_1 + steps_mean",11,0.571428571428571,0.119522860933439,0.908851506234439,0.636363636363636,0.448843871267045
"mid_recovery","mean_rhr_1","steps_total","mean_rhr_1 + steps_total",11,0.678571428571429,0.298807152333598,0.585432740986937,0.545454545454545,0.538018769076703
"mid_recovery","max_rhr_1","steps_max","max_rhr_1 + steps_max",11,0.607142857142857,0.179284291400159,0.655163511260359,0.545454545454545,0.466447625082385
"mid_recovery","max_rhr_1","steps_mean","max_rhr_1 + steps_mean",11,0.642857142857143,0.239045721866879,0.730148655105497,0.545454545454545,0.502233197079544
"mid_recovery","max_rhr_1","steps_total","max_rhr_1 + steps_total",11,0.678571428571429,0.298807152333598,0.520997437208587,0.545454545454545,0.538018769076703
"mid_recovery","min_rhr_1","steps_max","min_rhr_1 + steps_max",11,0.607142857142857,0.179284291400159,0.770732181311077,0.727272727272727,0.502811261446022
"mid_recovery","min_rhr_1","steps_mean","min_rhr_1 + steps_mean",11,0.464285714285714,0.0597614304667197,0.932083031906763,0.636363636363636,0.3773440135556
"mid_recovery","min_rhr_1","steps_total","min_rhr_1 + steps_total",11,0.642857142857143,0.239045721866879,0.62121417826454,0.636363636363636,0.520415015261362
"late_recovery","cv_rhr_1","steps_max","cv_rhr_1 + steps_max",11,0.821428571428571,0.537852874200477,0.0559374952435537,0.909090909090909,0.753888329792611
"late_recovery","cv_rhr_1","steps_mean","cv_rhr_1 + steps_mean",11,0.821428571428571,0.537852874200477,0.0695347497028729,0.909090909090909,0.753888329792611
"late_recovery","cv_rhr_1","steps_total","cv_rhr_1 + steps_total",11,0.785714285714286,0.478091443733757,0.109152576805787,0.909090909090909,0.718102757795452
"late_recovery","mean_rhr_1","steps_max","mean_rhr_1 + steps_max",11,0.785714285714286,0.478091443733757,0.213759472878613,0.727272727272727,0.681739121431816
"late_recovery","mean_rhr_1","steps_mean","mean_rhr_1 + steps_mean",11,0.75,0.418330013267038,0.387496658094036,0.636363636363636,0.627771731252839
"late_recovery","mean_rhr_1","steps_total","mean_rhr_1 + steps_total",11,0.678571428571429,0.298807152333598,0.384127473214323,0.727272727272727,0.574382405440339
"late_recovery","max_rhr_1","steps_max","max_rhr_1 + steps_max",11,0.678571428571429,0.298807152333598,0.228127900254942,0.727272727272727,0.574382405440339
"late_recovery","max_rhr_1","steps_mean","max_rhr_1 + steps_mean",11,0.714285714285714,0.358568582800318,0.324795745357837,0.636363636363636,0.59198615925568
"late_recovery","max_rhr_1","steps_total","max_rhr_1 + steps_total",11,0.75,0.418330013267038,0.304669083143343,0.727272727272727,0.645953549434657
"late_recovery","min_rhr_1","steps_max","min_rhr_1 + steps_max",11,0.714285714285714,0.358568582800318,0.186690762500014,0.727272727272727,0.610167977437498
"late_recovery","min_rhr_1","steps_mean","min_rhr_1 + steps_mean",11,0.821428571428571,0.537852874200477,0.243382090377189,0.727272727272727,0.717524693428974
"late_recovery","min_rhr_1","steps_total","min_rhr_1 + steps_total",11,0.678571428571429,0.298807152333598,0.364610581626619,0.727272727272727,0.574382405440339
