"max_cluster","Count","Mean_Membership","Positive_BF_Improvements","Positive_TH_Improvements","Outcome_Quality"
1,9,0.719621742563597,10,5,"Better"
1,9,0.719621742563597,11,0,"Better"
1,9,0.719621742563597,11,5,"Better"
1,9,0.719621742563597,9,4,"Better"
1,9,0.719621742563597,12,3,"Better"
1,9,0.719621742563597,4,0,"Better"
1,9,0.719621742563597,6,0,"Better"
1,9,0.719621742563597,8,2,"Better"
1,9,0.719621742563597,8,0,"Better"
2,6,0.724166106609741,2,0,"Worse"
2,6,0.724166106609741,3,0,"Worse"
2,6,0.724166106609741,7,4,"Worse"
2,6,0.724166106609741,6,7,"Worse"
2,6,0.724166106609741,1,8,"Worse"
2,6,0.724166106609741,2,8,"Worse"
