"day","stat_type","rhr_type","n_group1","n_group2","mean_group1","mean_group2","sd_group1","sd_group2","p_value","cohens_d","significant","comparison","p_adjusted","significant_adjusted"
-7,"cv","rhr_1",8,6,14.1716817522107,10.8379471686875,4.06761449606114,1.57926853581666,0.0617635391523843,1.08048159321822,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.320366399634911,FALSE
-7,"cv","rhr_50",8,6,10.7752930640069,11.43268833756,1.86747943518161,2.86627608980891,0.637605700688997,-0.27176444512483,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.94424909999105,FALSE
-7,"iqr","rhr_1",8,6,13.75,9.5,4.94974746830583,1.7606816861659,0.0506980235513844,1.1440615418736,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.313719954612724,FALSE
-7,"iqr","rhr_50",8,6,10,12.1666666666667,1.79284291400159,1.67082813798029,0.0394608469858408,-1.25030554574228,TRUE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.749756092730975,FALSE
-7,"kurt","rhr_1",8,6,3.91325806304313,6.81224712118247,1.26649186397249,2.62913027950466,0.0426764638324104,-1.40486758715725,TRUE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.557302523539346,FALSE
-7,"kurt","rhr_50",8,6,4.18035694810943,4.80849839104829,1.47581842686201,3.52568512009693,0.695144303280069,-0.232417967361936,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.825483860145082,FALSE
-7,"max","rhr_1",8,6,105.625,109.833333333333,12.1882554710907,7.96031825159438,0.450840625801787,-0.408826381789143,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.856623238270541,FALSE
-7,"max","rhr_50",8,6,107.125,109.833333333333,9.09375767059078,14.4556793913903,0.697622003834485,-0.224272679888508,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.849157947755625,FALSE
-7,"mean","rhr_1",8,6,67.5744763986371,68.4953312420588,3.73018475008393,6.03753646838625,0.750499714830127,-0.183500353645601,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.881540089972074,FALSE
-7,"mean","rhr_50",8,6,79.7364529895762,78.5688645154544,5.36487292082415,7.6842173037815,0.757782593549393,0.176191797818429,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.872598138026574,FALSE
-7,"median","rhr_1",8,6,65.125,67,4.51782185192315,5.96657355607052,0.535771118374025,-0.354307800826062,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.848304270758873,FALSE
-7,"median","rhr_50",8,6,78.75,77.4166666666667,5.84929788216378,7.67083220170189,0.73048893699701,0.195470694188668,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.85544352753593,FALSE
-7,"min","rhr_1",8,6,50.25,53.6666666666667,6.60627407415535,5.81950742474539,0.326032206680142,-0.548832820005966,FALSE,"No_Diabetes_Surgery0 vs Diabetes_Surgery0",0.688248244010994,FALSE
