"Parameter","Parameter_Type","N","Pearson_r","Pearson_p","Pearson_CI_lower","Pearson_CI_upper","Spearman_rho","Spearman_p","Significant_Pearson","Significant_Spearman","Pearson_p_fdr","Spearman_p_fdr","Significant_Pearson_fdr","Significant_Spearman_fdr","Trend_Significant","Effect_Size_Category","Clinical_Relevance"
"Thickness_OuterRetina_0_6_improvement","Thickness_Widefield",11,-0.565532397931981,0.0697997951300992,-0.87019488146855,0.0519751054789069,-0.545454545454545,0.0874530601806712,FALSE,FALSE,0.42329051382252,0.524718361084027,FALSE,FALSE,TRUE,"Large","Trend with Large Effect"
"PA_SVP_0_21_improvement","BloodFlow_Macular",12,0.541313378795179,0.0691256734757466,-0.0472745926351293,0.85088006452283,0.601398601398601,0.0428068689875762,FALSE,TRUE,0.42329051382252,0.524718361084027,FALSE,FALSE,TRUE,"Large","Trend with Large Effect"
"Thickness_Retina_0_6_improvement","Thickness_Widefield",11,-0.534135561816092,0.0905450709222086,-0.858829185025392,0.0967346408408618,-0.454545454545455,0.163386034746161,FALSE,FALSE,0.42329051382252,0.660428563627576,FALSE,FALSE,TRUE,"Large","Trend with Large Effect"
"Thickness_OuterRetina_0_21_improvement","Thickness_Macular",11,-0.529860788160837,0.0936511220274299,-0.857256584271149,0.102637617581938,-0.563636363636364,0.0759390758518602,FALSE,FALSE,0.42329051382252,0.524718361084027,FALSE,FALSE,TRUE,"Large","Trend with Large Effect"
"PA_Choroid_0_6_improvement","BloodFlow_Widefield",12,0.497366431731588,0.0999196845410469,-0.107108039846225,0.833386660800962,0.34965034965035,0.26600430932519,FALSE,FALSE,0.42329051382252,0.776814418547331,FALSE,FALSE,TRUE,"Medium","Trend with Medium Effect"
"Thickness_Retina_0_21_improvement","Thickness_Macular",11,-0.488525997584892,0.127329435043952,-0.841728618536798,0.157507222577903,-0.427272727272727,0.19262499772471,FALSE,FALSE,0.42329051382252,0.660428563627576,FALSE,FALSE,FALSE,"Medium","Limited Clinical Relevance"
"Thickness_INL_0_6_improvement","Thickness_Widefield",11,-0.486273509090654,0.129359023133719,-0.840865312679105,0.160386895734106,-0.236363636363636,0.485475943733222,FALSE,FALSE,0.42329051382252,0.787521564830595,FALSE,FALSE,FALSE,"Medium","Limited Clinical Relevance"
"Thickness_GCL.IPL_0_6_improvement","Thickness_Widefield",11,-0.473667755056229,0.14109683794084,-0.836000401521134,0.176301950590732,-0.545454545454545,0.0874530601806712,FALSE,FALSE,0.42329051382252,0.524718361084027,FALSE,FALSE,FALSE,"Medium","Limited Clinical Relevance"
"Thickness_GCL.IPL_0_21_improvement","Thickness_Macular",11,-0.405463470738541,0.21602143819514,-0.808652126127973,0.256895590753025,-0.136363636363636,0.693511174791049,FALSE,FALSE,0.576057168520374,0.891581771679619,FALSE,FALSE,FALSE,"Medium","Limited Clinical Relevance"
"Thickness_INL_0_21_improvement","Thickness_Macular",11,-0.366413673905005,0.267717537303356,-0.792168208117228,0.299233606928444,-0.309090909090909,0.356039941834193,FALSE,FALSE,0.642522089528055,0.776814418547331,FALSE,FALSE,FALSE,"Medium","Limited Clinical Relevance"
